IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
92,0,463,462.81,19,19.07,133.1,601,679.0,0.89,58.52,52.53,9.43,10.56,6.2,4.97,0.58,33.15,34.97,2957,5197,3725.31
93,0,1241,1241.3,9,9.81,97.25,447,476.0,0.94,40.85,34.98,11.7,11.13,3.49,3.14,2.77,158.46,159.3,2830,5224,3687.79
94,0,1286,1286.81,8,8.61,98.28,444,492.0,0.9,40.45,36.52,10.2,11.02,3.97,3.31,2.99,171.47,173.17,3029,5160,3681.26
95,0,1776,1776.25,13,12.89,66.73,268,281.0,0.95,26.25,23.59,10.77,10.17,2.44,2.32,1.26,72.26,86.09,3043,5053,3714.39
97,0,723,723.12,13,13.58,70.67,316,325.0,0.97,28.32,24.55,11.31,11.06,2.5,2.22,2.31,132.14,132.01,2901,5393,3745.59
98,0,899,899.83,27,27.06,123.98,576,640.0,0.9,52.55,46.3,8.54,11.33,6.15,4.09,1.2,68.81,66.89,2735,5099,3554.24
99,0,1182,1182.09,13,13.35,81.5,368,389.0,0.95,32.65,28.69,11.4,11.17,2.86,2.57,2.44,139.97,144.88,2871,5142,3693.09
100,0,1622,1622.51,17,17.48,99.3,479,503.0,0.95,42.01,37.61,10.0,11.18,4.2,3.36,2.47,141.77,138.01,2864,5521,3782.72
101,0,1707,1707.18,16,16.88,78.77,327,352.0,0.93,31.95,28.01,9.49,10.12,3.37,2.77,1.92,110.14,112.49,3039,5232,3694.78
102,0,787,787.34,19,19.21,90.57,371,414.0,0.9,36.89,33.08,9.43,10.14,3.91,3.26,2.14,122.83,123.73,3185,5850,3921.65
103,0,506,506.02,25,25.84,100.28,466,503.0,0.93,43.05,38.21,10.0,10.8,4.3,3.54,1.52,87.34,87.23,2902,5520,3660.37
104,0,1146,1146.86,13,13.98,102.08,484,519.0,0.93,42.38,37.41,10.44,11.42,4.06,3.28,0.34,19.29,20.04,2902,5226,3706.04
105,0,1326,1326.68,9,9.96,77.8,356,370.0,0.96,31.58,28.15,11.18,11.01,2.82,2.56,0.19,10.95,3.03,2987,5427,3945.57
106,0,1554,1554.65,18,18.51,95.05,435,465.0,0.94,39.66,35.18,10.82,10.75,3.67,3.27,0.59,33.69,36.82,3083,5565,3883.47
107,0,1984,1984.78,22,22.88,107.3,502,548.0,0.92,44.94,40.19,9.43,11.14,4.76,3.61,1.01,57.72,57.05,2951,5622,3793.14
108,0,104,104.77,15,15.73,82.67,386,404.0,0.96,34.06,29.12,10.0,11.51,3.41,2.53,2.44,139.76,145.65,2872,5388,3717.95
109,0,1593,1593.75,20,19.95,86.33,394,424.0,0.93,35.23,30.76,10.82,11.16,3.26,2.76,0.97,55.41,53.7,2911,5618,3778.81
110,0,75,75.56,18,18.22,77.74,346,359.0,0.96,31.62,27.74,10.82,10.78,2.92,2.57,0.61,34.7,42.03,2818,4995,3552.95
111,0,282,282.15,20,20.78,77.01,321,341.0,0.94,30.89,27.27,8.94,10.3,3.45,2.65,2.08,119.05,115.09,2791,4944,3585.44
112,0,849,849.06,16,16.74,97.5,440,468.0,0.94,40.25,35.56,11.18,10.81,3.6,3.29,2.68,153.43,155.43,2968,5299,3834.68
113,0,1829,1829.35,15,15.45,105.6,469,510.0,0.92,44.6,40.38,9.49,10.49,4.7,3.85,0.34,19.65,15.87,3078,5267,3755.04
114,0,235,235.33,19,19.76,71.84,320,335.0,0.96,28.64,24.68,12.08,11.25,2.37,2.19,1.14,65.22,58.86,2793,5416,3672.92
115,0,1450,1450.96,15,15.43,75.11,323,346.0,0.93,29.15,25.5,11.66,11.05,2.5,2.31,2.6,149.04,158.91,2988,5272,3756.72
116,0,159,159.14,30,30.9,108.28,525,564.0,0.93,47.1,41.89,11.0,11.12,4.28,3.77,1.51,86.35,88.27,2963,5223,3712.48
117,0,804,804.55,23,23.17,86.57,390,410.0,0.95,36.12,31.7,11.31,10.76,3.19,2.95,2.3,131.63,129.04,2942,5379,3741.11
118,0,931,931.49,30,30.9,112.43,552,601.0,0.92,46.87,41.87,11.18,11.67,4.19,3.59,1.38,78.93,76.43,2660,5091,3453.12
119,0,387,387.71,24,24.15,77.94,336,358.0,0.94,31.62,27.47,9.49,10.58,3.33,2.6,1.25,71.57,71.56,3029,5453,3784.26
120,0,1062,1062.11,15,15.04,111.46,530,571.0,0.93,47.17,42.81,10.0,11.24,4.72,3.81,0.08,4.86,1.21,2977,5322,3772.53
121,0,1753,1753.11,32,32.42,106.04,490,516.0,0.95,46.39,41.44,10.2,10.26,4.55,4.04,1.44,82.57,86.06,2927,5540,3656.89
122,0,2008,2008.38,33,34.01,119.11,558,626.0,0.89,50.99,45.96,10.2,11.23,5.0,4.09,1.77,101.31,99.06,3106,5526,3825.19
123,0,208,208.86,21,21.88,97.74,466,503.0,0.93,39.82,35.61,11.18,11.64,3.56,3.06,0.5,28.5,27.63,2981,5485,3902.39
124,0,703,703.65,23,23.11,75.84,322,345.0,0.93,29.68,26.19,10.82,10.67,2.74,2.45,1.0,57.38,59.13,2884,5101,3601.44
125,0,952,952.78,30,30.96,104.87,517,561.0,0.92,43.42,39.04,11.18,11.87,3.88,3.29,1.43,82.06,86.94,2764,5421,3569.21
126,0,1662,1662.4,29,29.22,101.74,479,522.0,0.92,41.23,36.77,10.77,11.61,3.83,3.17,1.97,112.83,113.5,3033,5412,3843.32
127,0,1876,1876.72,41,41.93,148.91,699,821.0,0.85,63.79,57.66,7.28,11.79,8.76,4.89,1.33,76.4,78.27,2773,5391,3656.46
128,0,476,476.07,23,23.53,77.74,343,363.0,0.94,30.81,27.54,11.4,10.89,2.7,2.53,0.62,35.75,38.93,2988,5314,3721.56
129,0,654,654.67,31,31.36,101.11,484,525.0,0.92,41.77,37.35,11.18,11.42,3.74,3.27,1.76,101.04,96.27,2722,5162,3506.43
130,0,1516,1516.02,22,22.77,82.91,371,399.0,0.93,33.29,29.45,10.82,11.1,3.08,2.65,2.57,147.26,146.59,2862,5432,3743.25
131,0,1683,1683.62,23,23.2,71.25,285,304.0,0.94,28.84,25.31,8.6,9.79,3.35,2.58,2.16,123.69,127.84,3017,5790,3954.74
132,0,130,130.1,24,24.31,76.91,336,357.0,0.94,31.14,26.76,11.31,10.88,2.75,2.46,2.31,132.4,131.8,2966,5232,3695.29
133,0,1405,1405.55,17,17.65,134.04,669,730.0,0.92,58.22,54.19,11.05,11.18,5.27,4.85,0.09,4.93,179.71,2843,5458,3770.46
134,0,1929,1929.49,28,28.85,97.74,430,456.0,0.94,41.88,36.37,10.82,10.34,3.87,3.52,0.99,56.69,59.04,3030,5445,3811.75
135,0,95,95.11,27,27.66,78.08,333,357.0,0.93,30.53,26.85,10.3,10.77,2.97,2.49,2.12,121.61,119.79,2769,5261,3551.66
136,0,273,273.53,32,32.03,97.6,428,461.0,0.93,40.8,36.3,9.49,10.33,4.3,3.51,1.87,107.1,105.85,2891,5070,3567.59
