IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
92,0,30.1,30.08,1.24,1.24,8.65,2.54,2.87,0.89,3.8,3.41,0.61,0.69,6.2,4.97,0.58,33.15,34.97,2957,5197,3725.31
93,0,80.67,80.68,0.58,0.64,6.32,1.89,2.01,0.94,2.66,2.27,0.76,0.72,3.49,3.14,2.77,158.46,159.3,2830,5224,3687.79
94,0,83.59,83.64,0.52,0.56,6.39,1.88,2.08,0.9,2.63,2.37,0.66,0.72,3.97,3.31,2.99,171.47,173.17,3029,5160,3681.26
95,0,115.44,115.46,0.84,0.84,4.34,1.13,1.19,0.95,1.71,1.53,0.7,0.66,2.44,2.32,1.26,72.26,86.09,3043,5053,3714.39
97,0,47.0,47.0,0.84,0.88,4.59,1.34,1.37,0.97,1.84,1.6,0.74,0.72,2.5,2.22,2.31,132.14,132.01,2901,5393,3745.59
98,0,58.44,58.49,1.76,1.76,8.06,2.43,2.7,0.9,3.42,3.01,0.56,0.74,6.15,4.09,1.2,68.81,66.89,2735,5099,3554.24
99,0,76.83,76.84,0.84,0.87,5.3,1.55,1.64,0.95,2.12,1.86,0.74,0.73,2.86,2.57,2.44,139.97,144.88,2871,5142,3693.09
100,0,105.43,105.46,1.1,1.14,6.45,2.02,2.13,0.95,2.73,2.44,0.65,0.73,4.2,3.36,2.47,141.77,138.01,2864,5521,3782.72
101,0,110.95,110.97,1.04,1.1,5.12,1.38,1.49,0.93,2.08,1.82,0.62,0.66,3.37,2.77,1.92,110.14,112.49,3039,5232,3694.78
102,0,51.16,51.18,1.24,1.25,5.89,1.57,1.75,0.9,2.4,2.15,0.61,0.66,3.91,3.26,2.14,122.83,123.73,3185,5850,3921.65
103,0,32.89,32.89,1.62,1.68,6.52,1.97,2.13,0.93,2.8,2.48,0.65,0.7,4.3,3.54,1.52,87.34,87.23,2902,5520,3660.37
104,0,74.49,74.55,0.84,0.91,6.64,2.04,2.19,0.93,2.75,2.43,0.68,0.74,4.06,3.28,0.34,19.29,20.04,2902,5226,3706.04
105,0,86.19,86.23,0.58,0.65,5.06,1.5,1.56,0.96,2.05,1.83,0.73,0.72,2.82,2.56,0.19,10.95,3.03,2987,5427,3945.57
106,0,101.01,101.05,1.17,1.2,6.18,1.84,1.96,0.94,2.58,2.29,0.7,0.7,3.67,3.27,0.59,33.69,36.82,3083,5565,3883.47
107,0,128.96,129.01,1.43,1.49,6.97,2.12,2.32,0.92,2.92,2.61,0.61,0.72,4.76,3.61,1.01,57.72,57.05,2951,5622,3793.14
108,0,6.76,6.81,0.98,1.02,5.37,1.63,1.71,0.96,2.21,1.89,0.65,0.75,3.41,2.53,2.44,139.76,145.65,2872,5388,3717.95
109,0,103.55,103.59,1.3,1.3,5.61,1.66,1.79,0.93,2.29,2.0,0.7,0.73,3.26,2.76,0.97,55.41,53.7,2911,5618,3778.81
110,0,4.88,4.91,1.17,1.18,5.05,1.46,1.52,0.96,2.06,1.8,0.7,0.7,2.92,2.57,0.61,34.7,42.03,2818,4995,3552.95
111,0,18.33,18.34,1.3,1.35,5.01,1.36,1.44,0.94,2.01,1.77,0.58,0.67,3.45,2.65,2.08,119.05,115.09,2791,4944,3585.44
112,0,55.19,55.19,1.04,1.09,6.34,1.86,1.98,0.94,2.62,2.31,0.73,0.7,3.6,3.29,2.68,153.43,155.43,2968,5299,3834.68
113,0,118.89,118.91,0.98,1.0,6.86,1.98,2.15,0.92,2.9,2.62,0.62,0.68,4.7,3.85,0.34,19.65,15.87,3078,5267,3755.04
114,0,15.28,15.3,1.24,1.28,4.67,1.35,1.42,0.96,1.86,1.6,0.79,0.73,2.37,2.19,1.14,65.22,58.86,2793,5416,3672.92
115,0,94.25,94.31,0.98,1.0,4.88,1.36,1.46,0.93,1.89,1.66,0.76,0.72,2.5,2.31,2.6,149.04,158.91,2988,5272,3756.72
116,0,10.34,10.34,1.95,2.01,7.04,2.22,2.38,0.93,3.06,2.72,0.72,0.72,4.28,3.77,1.51,86.35,88.27,2963,5223,3712.48
117,0,52.26,52.3,1.5,1.51,5.63,1.65,1.73,0.95,2.35,2.06,0.74,0.7,3.19,2.95,2.3,131.63,129.04,2942,5379,3741.11
118,0,60.52,60.55,1.95,2.01,7.31,2.33,2.54,0.92,3.05,2.72,0.73,0.76,4.19,3.59,1.38,78.93,76.43,2660,5091,3453.12
119,0,25.16,25.2,1.56,1.57,5.07,1.42,1.51,0.94,2.06,1.79,0.62,0.69,3.33,2.6,1.25,71.57,71.56,3029,5453,3784.26
120,0,69.03,69.04,0.98,0.98,7.24,2.24,2.41,0.93,3.07,2.78,0.65,0.73,4.72,3.81,0.08,4.86,1.21,2977,5322,3772.53
