IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
51,0,205,205.37,20,20.62,178.89,930,1023.0,0.91,77.88,70.18,10.77,12.02,7.23,5.84,2.72,155.74,151.66,5270,8500,6326.14
52,0,1818,1818.74,34,34.58,226.29,1174,1285.0,0.91,102.94,92.87,10.0,11.36,10.29,8.18,2.45,140.12,140.54,5421,7933,6222.63
53,0,1576,1576.19,11,11.34,87.25,365,390.0,0.94,35.85,31.26,10.77,10.3,3.33,3.03,2.74,157.01,154.96,5344,7900,6221.56
54,0,306,306.83,15,14.86,200.33,1100,1255.0,0.88,89.81,78.7,12.17,13.37,7.38,5.88,3.01,172.32,171.91,5086,7910,6112.24
55,0,1731,1731.02,27,27.94,201.52,995,1131.0,0.88,90.55,79.52,10.3,11.84,8.8,6.72,2.61,149.47,147.93,5344,7597,6260.42
56,0,173,173.96,18,18.48,127.05,644,697.0,0.92,53.85,47.99,12.65,11.85,4.26,4.05,2.76,158.2,156.26,5250,8204,6258.24
57,0,431,431.47,38,38.98,172.75,900,985.0,0.91,75.15,67.15,10.77,12.2,6.98,5.5,1.13,64.8,64.24,4807,7945,6036.44
58,0,752,752.97,15,15.8,144.91,711,793.0,0.9,61.85,56.44,11.18,11.53,5.53,4.9,0.24,14.04,12.77,5020,7968,5956.36
59,0,861,861.16,19,19.17,131.88,648,701.0,0.92,56.08,50.32,11.7,11.41,4.79,4.41,0.38,21.99,24.8,5149,7405,6053.45
60,0,1558,1558.93,27,28.05,203.04,997,1108.0,0.9,89.94,81.18,8.94,11.29,10.06,7.19,2.64,151.44,152.12,5303,7880,6270.71
61,0,123,123.53,22,22.44,138.02,757,809.0,0.94,58.31,51.64,13.04,12.84,4.47,4.02,0.54,30.96,28.56,4986,8015,6002.32
62,0,864,863.94,30,30.17,231.62,1223,1422.0,0.86,102.32,92.21,8.54,12.78,11.98,7.21,0.38,21.8,23.22,5005,7953,5991.83
63,0,445,445.15,37,37.85,154.85,753,807.0,0.93,67.08,60.49,9.85,10.95,6.81,5.52,1.11,63.43,64.67,5098,7711,6175.69
64,0,236,236.64,25,25.71,136.27,691,774.0,0.89,59.2,52.25,11.4,12.19,5.19,4.29,2.49,142.55,144.27,5385,8215,6362.76
65,0,267,268.14,20,20.84,158.81,815,912.0,0.89,68.96,61.97,10.77,12.1,6.4,5.12,2.85,163.14,164.26,5331,8264,6292.93
66,0,1829,1829.48,28,28.02,132.41,618,663.0,0.93,58.8,52.63,9.9,10.49,5.94,5.02,2.42,138.45,138.57,5648,7771,6336.57
67,0,1080,1080.4,15,15.32,152.87,849,888.0,0.96,68.12,62.23,11.0,12.35,6.19,5.04,0.06,3.37,0.66,4794,7524,5785.54
68,0,1619,1619.82,26,26.44,124.27,616,655.0,0.94,53.01,47.76,10.0,11.34,5.3,4.21,2.52,144.21,144.74,5227,7838,6054.3
70,0,896,896.08,32,32.19,151.48,805,866.0,0.93,65.8,59.44,11.4,12.13,5.77,4.9,0.63,36.35,36.41,4871,7966,5942.09
71,0,1002,1002.63,18,18.26,133.94,701,751.0,0.93,57.87,52.1,12.17,11.94,4.76,4.36,0.17,9.95,8.23,5122,7541,5872.67
72,0,1879,1879.65,41,41.72,155.64,744,851.0,0.87,67.72,60.19,10.44,11.68,6.49,5.15,1.86,106.29,106.33,5511,8063,6266.1
73,0,1891,1891.03,39,39.92,150.08,692,807.0,0.86,64.56,57.31,10.44,11.67,6.18,4.91,1.85,106.19,104.45,5469,8003,6323.38
75,0,503,503.8,38,38.1,123.46,612,654.0,0.94,54.33,48.6,11.05,11.23,4.92,4.33,1.68,96.34,93.52,5152,8417,6067.2
76,0,2015,2015.34,50,50.4,194.75,973,1109.0,0.88,85.09,77.5,10.77,11.75,7.9,6.59,1.22,70.07,68.12,5064,7925,6060.09
77,0,458,458.08,37,37.31,132.47,613,681.0,0.9,56.36,51.23,9.85,10.91,5.72,4.7,1.13,64.8,64.99,5569,7748,6248.96
78,0,637,637.34,19,19.94,119.36,581,626.0,0.93,51.24,45.78,11.05,11.34,4.64,4.04,0.1,5.6,8.27,5218,7966,6272.56
79,0,1182,1182.18,28,28.71,158.02,868,937.0,0.93,67.62,60.51,12.08,12.74,5.6,4.75,2.73,156.47,156.05,4751,7953,5670.84
80,0,1757,1757.01,30,30.63,128.75,629,669.0,0.94,56.4,51.15,10.0,11.06,5.64,4.63,2.49,142.93,141.3,5491,7796,6314.6
81,0,1665,1665.18,41,41.18,227.08,1167,1264.0,0.92,101.71,90.64,10.3,11.27,9.88,8.04,2.62,149.91,148.97,4981,8005,5957.88
82,0,491,491.11,43,43.24,136.77,682,749.0,0.91,60.21,52.93,12.04,11.47,5.0,4.62,1.65,94.76,96.11,5133,8310,6119.74
83,0,568,568.38,22,22.41,154.77,908,967.0,0.94,67.48,60.65,14.14,13.27,4.77,4.57,3.02,173.19,174.9,4949,7634,5880.91
84,0,664,663.52,28,28.97,258.37,1420,1631.0,0.87,115.52,105.44,11.18,12.8,10.33,8.24,0.21,11.99,11.39,5116,7967,6301.01
85,0,1905,1904.73,54,54.23,179.25,886,1055.0,0.84,79.51,69.63,10.05,12.73,7.91,5.47,1.68,96.5,95.64,5416,8216,6239.42
86,0,809,809.89,28,29.0,118.23,573,615.0,0.93,49.66,44.4,12.08,11.33,4.11,3.92,0.44,25.02,25.6,4946,7167,5688.27
87,0,1737,1737.16,45,45.64,214.74,1074,1215.0,0.88,96.52,87.19,10.82,11.46,8.92,7.61,2.55,145.98,145.75,5368,7750,6242.07
88,0,754,754.75,27,27.58,108.77,514,548.0,0.94,45.89,41.32,11.18,10.92,4.1,3.78,0.2,11.31,12.18,5093,7249,5841.33
89,0,1554,1554.52,38,39.03,187.82,919,1036.0,0.89,81.86,74.68,7.62,11.56,10.75,6.46,2.7,154.69,153.29,5251,8091,6257.98
90,0,541,541.17,33,33.54,144.23,786,844.0,0.93,60.75,54.58,12.65,12.73,4.8,4.29,2.79,159.78,161.22,5007,8183,6008.66
91,0,140,140.99,34,34.26,141.5,830,887.0,0.94,58.94,53.35,13.6,13.84,4.33,3.85,0.26,14.74,13.59,5000,8148,6276.49
92,0,1047,1047.16,36,36.25,201.54,1065,1192.0,0.89,88.89,79.75,10.44,12.32,8.51,6.47,0.3,17.01,16.27,4971,7613,5843.35
93,0,1829,1830.02,59,60.85,258.33,1324,1636.0,0.81,116.93,104.29,9.22,13.22,12.68,7.89,2.42,138.81,139.71,5247,8082,6245.43
94,0,1869,1869.28,44,44.09,113.5,499,538.0,0.93,47.43,43.0,9.49,10.32,5.0,4.17,1.89,108.43,108.87,5668,7729,6244.13
95,0,1922,1922.7,53,53.26,155.88,745,827.0,0.9,68.01,60.46,10.44,11.19,6.51,5.4,1.92,109.77,110.17,5337,8510,6224.65
96,0,1610,1610.33,49,49.11,158.11,852,898.0,0.95,71.45,64.36,11.31,11.72,6.32,5.49,2.33,133.3,134.75,5057,8074,6016.86
97,0,1971,1971.3,54,54.42,141.94,740,818.0,0.9,62.2,56.06,12.04,11.86,5.17,4.73,1.65,94.61,93.94,5021,7655,5727.54
98,0,281,281.45,43,42.92,140.02,736,792.0,0.93,60.75,53.13,11.66,12.32,5.21,4.31,2.57,147.09,149.39,5100,8611,6250.63
99,0,2019,2019.08,73,73.73,230.07,1152,1279.0,0.9,101.51,92.53,9.49,11.33,10.7,8.17,1.24,71.03,70.05,5068,7756,6095.07
100,0,454,455.3,77,77.66,249.72,1282,1482.0,0.87,111.33,98.14,11.7,12.72,9.51,7.72,1.23,70.59,70.05,5099,8047,6077.39
101,0,1181,1181.15,47,48.0,170.89,957,1036.0,0.92,75.17,67.4,10.82,12.88,6.95,5.23,2.56,146.94,147.32,4863,8051,5863.87
102,0,709,709.36,34,34.6,107.7,529,567.0,0.93,45.89,41.25,11.18,11.37,4.1,3.63,0.2,11.31,6.41,5213,8367,6255.62
103,0,341,341.55,41,41.13,184.33,1068,1193.0,0.9,81.61,73.74,11.18,13.43,7.3,5.49,0.12,7.04,7.47,4961,8092,5974.66
104,0,102,102.61,72,73.02,201.1,1066,1216.0,0.88,88.54,79.06,11.4,12.46,7.77,6.34,1.89,108.43,109.81,5049,8401,6140.15
105,0,1864,1864.07,60,60.78,141.64,665,735.0,0.9,61.47,54.87,10.77,10.91,5.71,5.03,1.95,111.97,110.54,5409,8283,6208.94
106,0,1731,1730.89,54,54.5,165.97,783,852.0,0.92,73.78,66.63,10.0,10.59,7.38,6.29,2.57,147.17,146.01,5603,8039,6396.63
107,0,169,169.6,45,46.07,234.57,1366,1533.0,0.89,105.55,95.27,13.15,13.22,8.02,7.21,0.17,9.82,8.87,4978,8525,6112.95
