IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
51,0,13.33,13.35,1.3,1.34,11.63,3.93,4.32,0.91,5.06,4.56,0.7,0.78,7.23,5.84,2.72,155.74,151.66,5270,8500,6326.14
52,0,118.17,118.22,2.21,2.25,14.71,4.96,5.43,0.91,6.69,6.04,0.65,0.74,10.29,8.18,2.45,140.12,140.54,5421,7933,6222.63
53,0,102.44,102.45,0.72,0.74,5.67,1.54,1.65,0.94,2.33,2.03,0.7,0.67,3.33,3.03,2.74,157.01,154.96,5344,7900,6221.56
54,0,19.89,19.94,0.98,0.97,13.02,4.65,5.3,0.88,5.84,5.12,0.79,0.87,7.38,5.88,3.01,172.32,171.91,5086,7910,6112.24
55,0,112.52,112.52,1.76,1.82,13.1,4.2,4.78,0.88,5.89,5.17,0.67,0.77,8.8,6.72,2.61,149.47,147.93,5344,7597,6260.42
56,0,11.25,11.31,1.17,1.2,8.26,2.72,2.94,0.92,3.5,3.12,0.82,0.77,4.26,4.05,2.76,158.2,156.26,5250,8204,6258.24
57,0,28.02,28.05,2.47,2.53,11.23,3.8,4.16,0.91,4.88,4.36,0.7,0.79,6.98,5.5,1.13,64.8,64.24,4807,7945,6036.44
58,0,48.88,48.94,0.98,1.03,9.42,3.0,3.35,0.9,4.02,3.67,0.73,0.75,5.53,4.9,0.24,14.04,12.77,5020,7968,5956.36
59,0,55.97,55.98,1.24,1.25,8.57,2.74,2.96,0.92,3.65,3.27,0.76,0.74,4.79,4.41,0.38,21.99,24.8,5149,7405,6053.45
60,0,101.27,101.33,1.76,1.82,13.2,4.21,4.68,0.9,5.85,5.28,0.58,0.73,10.06,7.19,2.64,151.44,152.12,5303,7880,6270.71
61,0,8.0,8.03,1.43,1.46,8.97,3.2,3.42,0.94,3.79,3.36,0.85,0.83,4.47,4.02,0.54,30.96,28.56,4986,8015,6002.32
62,0,56.16,56.16,1.95,1.96,15.06,5.17,6.01,0.86,6.65,5.99,0.56,0.83,11.98,7.21,0.38,21.8,23.22,5005,7953,5991.83
63,0,28.93,28.93,2.41,2.46,10.07,3.18,3.41,0.93,4.36,3.93,0.64,0.71,6.81,5.52,1.11,63.43,64.67,5098,7711,6175.69
64,0,15.34,15.38,1.62,1.67,8.86,2.92,3.27,0.89,3.85,3.4,0.74,0.79,5.19,4.29,2.49,142.55,144.27,5385,8215,6362.76
65,0,17.36,17.43,1.3,1.35,10.32,3.44,3.85,0.89,4.48,4.03,0.7,0.79,6.4,5.12,2.85,163.14,164.26,5331,8264,6292.93
66,0,118.89,118.92,1.82,1.82,8.61,2.61,2.8,0.93,3.82,3.42,0.64,0.68,5.94,5.02,2.42,138.45,138.57,5648,7771,6336.57
67,0,70.2,70.23,0.98,1.0,9.94,3.59,3.75,0.96,4.43,4.04,0.72,0.8,6.19,5.04,0.06,3.37,0.66,4794,7524,5785.54
68,0,105.23,105.29,1.69,1.72,8.08,2.6,2.77,0.94,3.45,3.1,0.65,0.74,5.3,4.21,2.52,144.21,144.74,5227,7838,6054.3
70,0,58.24,58.25,2.08,2.09,9.85,3.4,3.66,0.93,4.28,3.86,0.74,0.79,5.77,4.9,0.63,36.35,36.41,4871,7966,5942.09
71,0,65.13,65.17,1.17,1.19,8.71,2.96,3.17,0.93,3.76,3.39,0.79,0.78,4.76,4.36,0.17,9.95,8.23,5122,7541,5872.67
72,0,122.14,122.18,2.67,2.71,10.12,3.14,3.6,0.87,4.4,3.91,0.68,0.76,6.49,5.15,1.86,106.29,106.33,5511,8063,6266.1
