IDs,Frame,Center_position_x_PIX,Ellipse_center_x_PIX,Center_position_y_PIX,Ellipse_center_y_PIX,Perimeter_PIX,Surface_area_PIX^2,Convex_hull_area_PIX^2,Solidity,Length_PIX,Ellipse_major_axis_PIX,Width_PIX,Ellipse_minor_axis_PIX,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
65,0,729,729.67,22,22.77,117.01,584,634.0,0.92,48.47,43.42,10.77,12.15,4.5,3.57,1.19,68.2,74.23,4551,6668,5293.76
66,0,1349,1349.21,21,21.76,106.53,518,561.0,0.92,44.15,39.29,10.2,11.84,4.33,3.32,1.8,103.09,97.65,4583,6471,5338.99
67,0,255,255.75,12,12.37,73.25,334,349.0,0.96,28.84,24.64,11.66,11.67,2.47,2.11,0.59,33.69,41.87,4588,6356,5318.15
68,0,938,938.35,14,14.12,107.74,515,557.0,0.92,44.94,39.71,10.77,11.55,4.17,3.44,0.36,20.85,21.35,4776,6617,5409.7
69,0,1271,1271.82,12,12.8,86.08,413,438.0,0.94,34.01,29.48,13.0,12.07,2.62,2.44,0.42,24.3,27.53,4522,6101,5148.38
70,0,375,375.08,27,27.06,126.95,650,712.0,0.91,54.2,47.88,10.3,12.16,5.26,3.94,1.05,60.12,59.71,4623,6757,5357.58
71,0,1959,1959.44,12,12.76,99.84,467,501.0,0.93,41.44,36.81,11.7,11.34,3.54,3.25,2.8,160.25,161.62,4609,6541,5320.85
72,0,299,299.81,18,18.68,79.11,354,377.0,0.94,31.05,27.35,12.37,11.23,2.51,2.44,1.31,75.07,74.2,4742,6523,5406.48
73,0,417,417.42,12,12.99,71.36,311,333.0,0.93,27.2,23.5,11.4,11.49,2.39,2.05,2.51,143.97,152.01,4552,6028,5096.17
74,0,715,715.11,19,19.0,83.5,387,413.0,0.94,32.76,28.51,11.66,11.69,2.81,2.44,1.03,58.74,61.11,4465,6289,5183.67
75,0,1799,1799.32,24,24.08,113.54,572,608.0,0.94,48.55,42.07,11.66,11.84,4.16,3.55,2.14,122.38,123.88,4601,6700,5316.03
76,0,280,280.45,23,23.25,101.54,485,518.0,0.94,42.8,37.82,10.0,11.22,4.28,3.37,0.92,52.59,51.06,4726,6598,5454.24
77,0,1832,1832.03,27,27.38,107.01,530,583.0,0.91,44.64,39.25,10.2,12.25,4.38,3.21,1.3,74.41,76.88,4501,6660,5283.88
78,0,1929,1929.0,34,34.4,140.77,713,795.0,0.9,61.66,55.32,9.22,11.97,6.69,4.62,1.42,81.61,84.15,4486,6554,5207.82
79,0,2025,2025.68,18,18.22,78.08,372,393.0,0.95,30.41,26.43,12.73,12.15,2.39,2.18,2.38,136.33,128.61,4576,6806,5318.69
80,0,461,461.13,20,20.83,78.53,356,377.0,0.94,31.32,27.07,11.7,11.3,2.68,2.4,1.28,73.3,73.36,4582,6401,5255.27
81,0,1479,1479.7,28,28.83,107.7,514,559.0,0.92,46.1,40.55,11.18,11.23,4.12,3.61,1.79,102.53,97.04,4631,6630,5364.75
82,0,1741,1741.77,14,14.91,123.01,632,688.0,0.92,52.39,46.88,11.18,12.06,4.69,3.89,0.23,13.24,10.82,4572,6646,5364.96
84,0,20,20.51,20,20.26,86.33,426,454.0,0.94,33.6,29.61,12.81,12.62,2.62,2.35,2.5,143.47,142.35,4591,6536,5164.06
85,0,1078,1079.02,20,20.13,108.57,533,572.0,0.93,44.94,39.69,11.7,11.79,3.84,3.37,0.36,20.85,23.74,4696,6709,5422.28
86,0,1410,1410.18,26,26.18,99.15,475,514.0,0.92,39.96,35.35,11.66,11.81,3.43,2.99,1.02,58.3,62.39,4571,6449,5250.49
87,0,1514,1514.25,16,16.21,82.53,394,416.0,0.95,33.24,29.07,12.65,11.73,2.63,2.48,0.27,15.71,13.55,4568,6364,5255.34
88,0,64,64.22,28,28.72,98.18,479,509.0,0.94,40.79,35.79,12.17,11.58,3.35,3.09,1.37,78.69,76.32,4469,6305,5205.49
89,0,637,637.25,33,33.84,124.33,590,684.0,0.86,51.92,45.83,7.28,12.32,7.13,3.72,1.3,74.36,75.64,4533,6361,5251.83
90,0,1224,1224.13,29,29.46,121.44,619,665.0,0.93,52.8,46.11,11.4,12.09,4.63,3.81,2.22,127.3,129.12,4400,6297,5089.19
91,0,1539,1539.4,27,27.24,96.67,451,476.0,0.95,40.31,35.52,10.77,10.99,3.74,3.23,1.16,66.61,66.24,4562,6056,5130.46
92,0,570,570.7,24,24.84,86.91,414,436.0,0.95,35.23,30.48,12.21,11.75,2.89,2.59,0.97,55.41,54.98,4380,6413,5139.15
