IDs,Frame,Center_position_x_MICRON,Ellipse_center_x_MICRON,Center_position_y_MICRON,Ellipse_center_y_MICRON,Perimeter_MICRON,Surface_area_MICRON^2,Convex_hull_area_MICRON^2,Solidity,Length_MICRON,Ellipse_major_axis_MICRON,Width_MICRON,Ellipse_minor_axis_MICRON,Aspect_ratio,Ellipse_aspect_ratio,Angle_to_x+_axis_RAD,Angle_to_x+_axis_DEG,Ellipse_Angle_DEG,Min_intensity,Max_intensity,Mean_intensity
65,0,47.39,47.43,1.43,1.48,7.61,2.47,2.68,0.92,3.15,2.82,0.7,0.79,4.5,3.57,1.19,68.2,74.23,4551,6668,5293.76
66,0,87.69,87.7,1.36,1.41,6.92,2.19,2.37,0.92,2.87,2.55,0.66,0.77,4.33,3.32,1.8,103.09,97.65,4583,6471,5338.99
67,0,16.57,16.62,0.78,0.8,4.76,1.41,1.47,0.96,1.87,1.6,0.76,0.76,2.47,2.11,0.59,33.69,41.87,4588,6356,5318.15
68,0,60.97,60.99,0.91,0.92,7.0,2.18,2.35,0.92,2.92,2.58,0.7,0.75,4.17,3.44,0.36,20.85,21.35,4776,6617,5409.7
69,0,82.62,82.67,0.78,0.83,5.6,1.74,1.85,0.94,2.21,1.92,0.84,0.78,2.62,2.44,0.42,24.3,27.53,4522,6101,5148.38
70,0,24.38,24.38,1.76,1.76,8.25,2.75,3.01,0.91,3.52,3.11,0.67,0.79,5.26,3.94,1.05,60.12,59.71,4623,6757,5357.58
71,0,127.34,127.36,0.78,0.83,6.49,1.97,2.12,0.93,2.69,2.39,0.76,0.74,3.54,3.25,2.8,160.25,161.62,4609,6541,5320.85
72,0,19.44,19.49,1.17,1.21,5.14,1.5,1.59,0.94,2.02,1.78,0.8,0.73,2.51,2.44,1.31,75.07,74.2,4742,6523,5406.48
73,0,27.11,27.13,0.78,0.84,4.64,1.31,1.41,0.93,1.77,1.53,0.74,0.75,2.39,2.05,2.51,143.97,152.01,4552,6028,5096.17
74,0,46.48,46.48,1.24,1.24,5.43,1.64,1.74,0.94,2.13,1.85,0.76,0.76,2.81,2.44,1.03,58.74,61.11,4465,6289,5183.67
75,0,116.94,116.96,1.56,1.57,7.38,2.42,2.57,0.94,3.16,2.73,0.76,0.77,4.16,3.55,2.14,122.38,123.88,4601,6700,5316.03
76,0,18.2,18.23,1.5,1.51,6.6,2.05,2.19,0.94,2.78,2.46,0.65,0.73,4.28,3.37,0.92,52.59,51.06,4726,6598,5454.24
77,0,119.08,119.08,1.76,1.78,6.96,2.24,2.46,0.91,2.9,2.55,0.66,0.8,4.38,3.21,1.3,74.41,76.88,4501,6660,5283.88
78,0,125.39,125.39,2.21,2.24,9.15,3.01,3.36,0.9,4.01,3.6,0.6,0.78,6.69,4.62,1.42,81.61,84.15,4486,6554,5207.82
79,0,131.62,131.67,1.17,1.18,5.08,1.57,1.66,0.95,1.98,1.72,0.83,0.79,2.39,2.18,2.38,136.33,128.61,4576,6806,5318.69
80,0,29.96,29.97,1.3,1.35,5.1,1.5,1.59,0.94,2.04,1.76,0.76,0.73,2.68,2.4,1.28,73.3,73.36,4582,6401,5255.27
81,0,96.14,96.18,1.82,1.87,7.0,2.17,2.36,0.92,3.0,2.64,0.73,0.73,4.12,3.61,1.79,102.53,97.04,4631,6630,5364.75
82,0,113.17,113.22,0.91,0.97,8.0,2.67,2.91,0.92,3.41,3.05,0.73,0.78,4.69,3.89,0.23,13.24,10.82,4572,6646,5364.96
84,0,1.3,1.33,1.3,1.32,5.61,1.8,1.92,0.94,2.18,1.92,0.83,0.82,2.62,2.35,2.5,143.47,142.35,4591,6536,5164.06
85,0,70.07,70.14,1.3,1.31,7.06,2.25,2.42,0.93,2.92,2.58,0.76,0.77,3.84,3.37,0.36,20.85,23.74,4696,6709,5422.28
86,0,91.65,91.66,1.69,1.7,6.44,2.01,2.17,0.92,2.6,2.3,0.76,0.77,3.43,2.99,1.02,58.3,62.39,4571,6449,5250.49
87,0,98.41,98.43,1.04,1.05,5.36,1.66,1.76,0.95,2.16,1.89,0.82,0.76,2.63,2.48,0.27,15.71,13.55,4568,6364,5255.34
88,0,4.16,4.17,1.82,1.87,6.38,2.02,2.15,0.94,2.65,2.33,0.79,0.75,3.35,3.09,1.37,78.69,76.32,4469,6305,5205.49
89,0,41.41,41.42,2.15,2.2,8.08,2.49,2.89,0.86,3.37,2.98,0.47,0.8,7.13,3.72,1.3,74.36,75.64,4533,6361,5251.83
90,0,79.56,79.57,1.89,1.91,7.89,2.62,2.81,0.93,3.43,3.0,0.74,0.79,4.63,3.81,2.22,127.3,129.12,4400,6297,5089.19
91,0,100.03,100.06,1.76,1.77,6.28,1.91,2.01,0.95,2.62,2.31,0.7,0.71,3.74,3.23,1.16,66.61,66.24,4562,6056,5130.46
92,0,37.05,37.1,1.56,1.61,5.65,1.75,1.84,0.95,2.29,1.98,0.79,0.76,2.89,2.59,0.97,55.41,54.98,4380,6413,5139.15
93,0,61.88,61.89,1.43,1.47,7.55,2.45,2.67,0.92,3.2,2.81,0.7,0.79,4.57,3.58,0.42,23.96,24.81,4717,6716,5465.98
94,0,65.2,65.2,1.36,1.4,7.03,2.32,2.51,0.93,2.92,2.54,0.7,0.8,4.17,3.18,0.36,20.85,20.92,4624,6602,5317.69
95,0,12.68,12.74,1.95,1.96,6.27,2.01,2.18,0.92,2.58,2.26,0.79,0.78,3.26,2.89,1.75,100.18,96.67,4453,6200,5193.94
96,0,48.75,48.79,1.89,1.89,7.62,2.52,2.71,0.93,3.28,2.86,0.65,0.77,5.04,3.7,0.69,39.37,40.51,4648,6746,5376.02
97,0,124.48,124.53,2.02,2.07,6.76,2.09,2.29,0.91,2.81,2.49,0.72,0.74,3.91,3.36,1.66,95.31,93.52,4618,6614,5331.85
98,0,67.02,67.04,2.47,2.51,8.98,2.97,3.36,0.88,3.79,3.4,0.64,0.82,5.92,4.15,1.18,67.83,66.39,4541,6661,5326.42
99,0,75.4,75.43,2.21,2.25,7.94,2.56,2.79,0.92,3.36,2.98,0.67,0.77,5.01,3.87,2.12,121.53,120.29,4514,6264,5155.49
100,0,92.62,92.69,1.56,1.56,4.42,1.25,1.32,0.95,1.69,1.44,0.8,0.74,2.1,1.95,1.3,74.36,68.17,4634,6236,5265.99
101,0,57.46,57.49,1.89,1.94,5.54,1.63,1.73,0.94,2.2,1.94,0.7,0.73,3.14,2.65,1.9,108.97,113.15,4375,6605,5283.25
102,0,28.6,28.63,1.56,1.57,4.56,1.33,1.39,0.96,1.76,1.51,0.83,0.76,2.11,2.0,2.46,141.01,146.16,4470,6392,5194.03
103,0,72.61,72.6,1.95,1.96,6.82,2.29,2.46,0.93,2.86,2.51,0.78,0.82,3.65,3.04,2.42,138.69,136.58,4339,6500,5196.15
104,0,105.62,105.66,1.56,1.62,7.21,2.36,2.53,0.93,3.02,2.67,0.68,0.78,4.45,3.44,0.33,18.82,18.85,4570,6498,5197.26
105,0,107.45,107.46,1.62,1.65,4.8,1.45,1.52,0.96,1.85,1.61,0.74,0.78,2.49,2.07,0.69,39.29,41.35,4742,6649,5341.83
106,0,51.16,51.2,2.6,2.67,8.29,2.73,3.06,0.89,3.5,3.11,0.66,0.8,5.28,3.89,1.31,74.93,75.21,4557,6687,5301.55
107,0,88.53,88.56,2.47,2.53,7.48,2.4,2.6,0.92,3.15,2.8,0.73,0.76,4.34,3.68,1.43,81.7,80.52,4628,6651,5357.71
108,0,93.92,93.93,1.76,1.79,6.11,1.94,2.05,0.95,2.52,2.2,0.7,0.77,3.59,2.87,0.6,34.51,34.31,4559,6461,5307.24
109,0,25.48,25.49,2.02,2.04,7.01,2.31,2.47,0.93,2.95,2.58,0.74,0.79,3.99,3.26,0.69,39.64,40.33,4646,6469,5241.2
110,0,68.06,68.1,2.08,2.08,5.82,1.75,1.87,0.94,2.33,2.07,0.79,0.74,2.97,2.78,1.17,67.01,62.68,4670,6458,5383.49
111,0,95.48,95.57,2.79,2.85,8.11,2.6,2.92,0.89,3.48,3.09,0.66,0.79,5.26,3.89,1.82,104.04,100.3,4679,6693,5417.08
112,0,122.85,122.85,1.69,1.71,6.47,2.06,2.22,0.93,2.63,2.3,0.82,0.78,3.2,2.94,2.87,164.25,164.52,4640,6722,5390.83
113,0,131.43,131.48,2.15,2.2,8.19,2.71,2.97,0.91,3.5,3.11,0.65,0.8,5.38,3.89,2.53,144.83,144.46,4534,6683,5302.72
115,0,23.07,23.09,2.15,2.19,5.46,1.72,1.8,0.96,2.18,1.9,0.88,0.77,2.46,2.46,1.27,72.65,72.62,4551,6488,5322.67
116,0,33.73,33.78,2.08,2.09,4.91,1.44,1.53,0.94,1.89,1.64,0.82,0.76,2.3,2.16,1.96,112.17,113.95,4475,6285,5193.71
