Filename;Fitting Equation;a;b;c;;;;;;;;436
260305_436+3121_0p5agarose_OD0p5_10pc_3h_100X_SC10pc_1003_CH1_FR1;a * exp(-Radius/b) + c;1.1968;2.144;0.0075;;;;;;;;
260305_436+3121_0p5agarose_OD0p5_10pc_3h_5sec_100X_SC30pc_1017_CH1_FR1;a * exp(-Radius/b) + c;1.3683;1.8148;0.004;;;;;;;;
260305_436+3121_0p5agarose_OD0p5_10pc_3h_5sec_100X_SC30pc_1015_CH1_FR1;a * exp(-Radius/b) + c;1.6632;1.6977;0.0019;;;;;;;;
260305_436+3121_0p5agarose_OD0p5_10pc_3h_100X_1005_SC10pc_CH1_FR1;a * exp(-Radius/b) + c;1.7279;1.8506;0.0127;;;;;;;;
260306_337+3120_0p5agarose_OD0p5_10pc_5sec_1h_100X_1016_SC30pc_CH1_FR1;a * exp(-Radius/b) + c;1.8645;1.2028;0.0003;;;;;;;;
260306_337+3120_0p5agarose_OD0p5_10pc_5sec_1h_100X_1018_SC30pc_CH1_FR1;a * exp(-Radius/b) + c;0.909;1.8969;0.0095;;;;;;;;
260306_337+3120_0p5agarose_OD0p5_2pc_5sec_1h_100X_1021_SC70pc_CH1_FR1;a * exp(-Radius/b) + c;1.232;2.1355;0.0011;;;;;;;;
260317_337+3120_0p5agarose_LB_OD0p5_mix2pc_5s_100X_SC70pc_1005_CH1_FR1;a * exp(-Radius/b) + c;1.1138;2.7459;-0.0029;;;;;;;;
260317_337+3120_0p5agarose_LB_OD0p1_mix10pc_5s_100X_SC10pc_1007_CH1_FR1;a * exp(-Radius/b) + c;1.3811;1.956;0.0006;;;;;;;;
260317_337+3120_0p5agarose_LB_OD0p1_mix10pc_5s_100X_SC10pc_1011_CH1_FR1;a * exp(-Radius/b) + c;2.1323;1.5814;0.0046;;;;;;;;
260317_337+3120_0p5agarose_LB_OD0p1_mix10pc_5s_100X_SC10pc_1009_CH1_FR1;a * exp(-Radius/b) + c;2.42;1.5937;0.0028;;;;;;;;
260317_337+3120_0p5agarose_LB_OD0p5_mix2pc_5s_100X_SC70pc_1003_CH1_FR1;a * exp(-Radius/b) + c;0.9609;2.5847;0.0025;;;;;;;;
260312_436+3121_0p5agarose_OD0p2_mix2pc_5sec_2h_100X_1017_SC70pc_CH1_Frame1;a * exp(-Radius/b) + c;1.2607;1.558;-0.0017;;;;;;;;
260304_337+3120_0p5agarose_OD0p5_10pc_1h30_100X_2003_SC30pc_CH1_FR1;a * exp(-Radius/b) + c;0.973;2.0895;-0.0026;;;;;;;;
260312_436+3121_0p5agarose_OD0p2_mix2pc_5sec_2h_100X_1015_SC70pc_CH1_Frame1;a * exp(-Radius/b) + c;0.9514;1.966;-0.0012;;;;;;;;
260312_436+3121_0p5agarose_OD0p2_mix10pc_5sec_2h_100X_1008_SC30pc_CH1_Frame1;a * exp(-Radius/b) + c;1.9684;1.6079;-0.0025;;;;;;;;
260305_436+3121_0p5agarose_OD0p5_2pc_3h_5sec_100X_1024_SC70pc_CH1_FR1;a * exp(-Radius/b) + c;0.9202;1.8441;0.0012;;;;;;;;
260312_436+3121_0p5agarose_OD0p2_mix10pc_5sec_2h_100X_1004_SC10pc_CH1_Frame1;a * exp(-Radius/b) + c;3.0599;1.4022;-0.0028;;;;;;;;
240529_232_0p55agarose_2xTrpNC_OD0p5_2h40_5s_100X_3001_SC70pc_Frame1;a * exp(-Radius/b) + c;0.9723;6.7134;-0.0057;;;;;;;;
240614_232_0p55agarose_2xTrpNC_OD0p5_3h30_5s_100X_012_SC10pc_Frame1;a * exp(-Radius/b) + c;1.5775;2.8277;-0.0013;;;;;;;;
240816_232_0p55pagarose_2xTrpNC_OD0p5_2h10_5s_15001_SC70pc_Frame1;a * exp(-Radius/b) + c;0.9779;5.5693;-0.0051;;;;;;;;
240815_177_0p55pagarose_2xTrpNC_OD0p5_2h_5s_10_SC70pc_Frame1;a * exp(-Radius/b) + c;1.0697;1.3456;-0.0013;;;;;;;;
240820_177_0p55pagarose_2xTrpNC_OD0p5_1h30_5s_4_SC30pc_Frame1;a * exp(-Radius/b) + c;3.7205;0.9809;0.0038;;;;;;;;
240815_459_0p55pagarose_2xTrpNC_OD0p5_2h_5s_11008_SC30pc_Frame1;a * exp(-Radius/b) + c;1.0086;3.2852;0.0207;;;;;;;;
240524_232_0p55agarose_2xTrpNC_OD0p5_2h10_5s_100X_5_Stage1_SC30pc_FR1;a * exp(-Radius/b) + c;1.0121;4.0281;0.006;;;;;;;;
240815_459_0p55pagarose_2xTrpNC_OD0p5_2h_5s_11004_SC10pc_Frame1;a * exp(-Radius/b) + c;2.5464;1.5966;0.0403;;;;;;;;
240815_459_0p55pagarose_2xTrpNC_OD0p5_2h_5s_12_SC30pc_Frame1;a * exp(-Radius/b) + c;0.9889;3.4021;0.0122;;;;;;;;
240614_232_0p55agarose_2xTrpNC_OD0p5_3h30_5s_100X_013_SC10pc_Frame1;a * exp(-Radius/b) + c;0.9807;3.5677;0.0095;;;;;;;;
240612_232_0p55agarose_2xTrpNC_OD0p5_3h_5s_100X_2003_SC70pc_Frame1;a * exp(-Radius/b) + c;0.9194;10.3788;0.0247;;;;;;;;
240614_459_0p55agarose_2xTrpNC_OD0p5_3h_5s_100X_004_SC70pc_Frame1;a * exp(-Radius/b) + c;0.6883;2.7107;-0.0005;;;;;;;;
240612_232_0p55agarose_2xTrpNC_OD0p5_1h30_5s_100X_1001_SC30pc_Frame1;a * exp(-Radius/b) + c;0.962;5.1748;0.0303;;;;;;;;
240524_232_0p55agarose_2xTrpNC_OD0p5_2h30_5s_100X_2_Stage1_SC10pc_FR1;a * exp(-Radius/b) + c;1.3916;2.7429;0.0159;;;;;;;;
240802_177_0p55pagarose_2xTrpNC_OD0p5_2h55_5s_3001_SC70pc_Frame1;a * exp(-Radius/b) + c;1.502;1.0909;0.0012;;;;;;;;
240614_232_0p55agarose_2xTrpNC_OD0p5_2h_5s_100X_003_SC30pc_Frame1;a * exp(-Radius/b) + c;1.0337;4.9934;-0.0113;;;;;;;;
240815_177_0p55pagarose_2xTrpNC_OD0p5_2h_5s_6005_SC30pc_Frame1;a * exp(-Radius/b) + c;1.388;1.4221;-0.0009;;;;;;;;
240612_177_0p55agarose_2xTrpNC_OD0p5_2h30_5s_100X_3009_SC30pc_Frame1;a * exp(-Radius/b) + c;1.5977;1.5652;0.011;;;;;;;;
250123_459_0p5agarose_LB_OD0p5_5s_2h55_100X_1028_SC70pc_Frame1;a * exp(-Radius/b) + c;0.6239;2.6381;0.0288;;;;;;;;
240820_177_0p55pagarose_2xTrpNC_OD0p5_1h30_5s_3002_SC10pc_Frame1;a * exp(-Radius/b) + c;1.4231;1.9125;0.0028;;;;;;;;
240529_177_0p55agarose_2xTrpNC_OD0p5_2h55_5s_100X_3002_SC70pc_Frame1;a * exp(-Radius/b) + c;0.8099;2.1716;0.0033;;;;;;;;
240820_459_0p55pagarose_2xTrpNC_OD0p5_1h30_5s_2_SC10pc_Frame1;a * exp(-Radius/b) + c;1.065;2.0955;0.0305;;;;;;;;
