LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID237699,237699,0,576.0,38.20792737902118,97.49048451301019,0.0,20.0,4,0.8805176928472278,1,,2560.8697916666665,2570.0,0.0,2570.0,1475061.0,151.31909982822947,6026.852430555556,5963.0,5295.0,7928.0,3471467.0,425.46985681121004,159.78472222222223,162.0,110.0,208.0,92036.0,20.867503571678366,0.0816935266783763,2.5562725580317607,-0.024789253273828388,-0.7201396486735865,0.11204383324655418,1.542981800425935,-0.03580930283132811,1.9651081807690324E-5,1.9676350750337754,0.41031019450291867,0.10183399594470718,4.795481812041058,2.4357126217856258,8.176834509558965,0.45778914892926426,0.9209265175718859,5.239286949214559
ID285574,285574,0,604.0,32.380583454139746,93.84345689153218,0.0,85.0,17,0.9020198991727066,1,,2438.6738410596026,2459.0,0.0,2482.0,1472959.0,222.99214580866644,6085.9668874172185,5988.0,5342.0,7988.0,3675924.0,446.51756874757575,158.3725165562914,160.0,108.0,217.0,95657.0,22.755065544147854,0.07756151414568035,1.574339368118569,-0.023142599803337105,-0.6458058933171609,0.10724123536062204,1.3481905528816538,-0.019014573522354423,0.0019187943776669402,2.031215364821017,0.4196600948945264,0.17030722776235918,4.840144177471829,2.5561251278062658,8.10928152344767,0.4884579902174731,0.9482758620689643,5.072141057843186
ID398853,398853,0,605.0,28.257550498970794,86.92957271266116,0.0,280.0,56,0.9001542924202572,1,,2318.559068219634,2330.0,0.0,2387.0,1393454.0,164.3904404817892,6112.4059900166385,6016.0,5269.0,7977.0,3673556.0,483.76026248965496,159.85357737104826,162.0,110.0,217.0,96072.0,21.71417028918567,0.11006033091323018,2.7967640747049187,-0.029808768587062384,-0.7764235281115087,0.1146725210466567,1.5146810134314141,-0.0061366462585790895,-0.002591408564546163,2.0425259917224285,0.41777034395494256,0.5493747670070657,4.889111975700025,2.5455626272781338,8.530144139595386,0.4396235113040128,0.9026217228464387,5.346437283302734
ID337409,337409,0,595.0,35.43226537856416,91.1496037280265,0.0,205.0,41,0.8967864200292894,1,,2399.879598662207,2416.0,0.0,2435.0,1435128.0,197.1105996498164,6069.2959866220735,5995.0,5282.0,7845.0,3629439.0,433.5275095364818,160.30602006688963,161.0,94.0,210.0,95863.0,19.86845341452182,0.08973775211726728,2.005222921113341,-0.02782899297964192,-0.8015054478800372,0.11464357618433765,1.6596995365492633,0.005610410701998098,-9.220262126019479E-4,2.083743854616478,0.4023651075725985,0.26801851499067286,5.178738949774638,2.526550126327502,8.279749152417107,0.46313054410525023,0.9365700861393907,5.208986356003838
ID237958,237958,0,587.0,38.087553523943434,97.17303525115452,0.0,25.0,5,0.8881216137335577,1,,2556.887755102041,2570.0,0.0,2570.0,1503450.0,183.2584335806366,6070.391156462585,5992.0,5233.0,7947.0,3569390.0,434.31270977321316,160.03401360544217,161.0,108.0,218.0,94100.0,22.082211258180678,0.05838585559693845,1.5393639457380521,-0.012901612845449797,-0.3653656347468545,0.1106114593382824,1.4435695229819145,0.04854065438492436,-0.020089919921042632,1.9306392390343419,0.4496334111513069,0.02211567048331209,4.293807335382065,2.4779626238981223,8.042214036450117,0.48145240546838725,0.9444444444444424,5.108909993702666
ID235654,235654,0,589.0,38.45920720971293,97.85924827627991,0.0,15.0,3,0.8903901272980348,1,,2585.6706281833617,2599.0,0.0,2599.0,1522960.0,185.17628162182288,6032.0899830220715,5960.0,5252.0,8162.0,3552901.0,472.5821424314165,156.16129032258064,157.0,106.0,224.0,91979.0,23.11387358435909,0.09348835574153401,2.387597950796083,-0.037327391363585205,-0.9898503150839552,0.09626432061238922,1.1865354586274253,0.008871857243381524,0.0021211395846491587,1.9887964390025217,0.4112481126103982,0.10845996464249896,4.836001377316075,2.490637624531883,8.205425650844276,0.4648557197571736,0.9379474940334105,5.1993115588896615
ID236554,236554,0,582.0,39.221964353631684,98.45479377312319,0.0,0.0,0,0.8885001015469179,1,,2565.923469387755,2588.0,0.0,2599.0,1508763.0,237.83616236745988,6043.367346938776,5941.0,5094.0,7885.0,3553500.0,535.0055368419587,158.3656462585034,159.0,82.0,209.0,93119.0,21.9216657920383,0.0967930610607382,1.904212169983549,-0.03480947105068161,-0.8147701036341896,0.1039855854785838,1.3609029613845378,0.0033890675293673164,-3.436779614303052E-4,1.9656347863234822,0.4104310972422326,0.19148432895441686,4.789195554457178,2.4800751240037475,8.035792807136836,0.4826332510031852,0.9273301737756677,5.1026562511824105
