LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID17671,17671,0,687.0,83.89527939393929,88.9079218181828,0.0,80.0,16,0.9615564193142688,1,,419.3842794759825,420.0,0.0,420.0,288117.0,16.024241394575853,5463.077147016012,5299.0,4804.0,7125.0,3753134.0,442.2156593506598,214.52110625909754,218.0,119.0,306.0,147376.0,40.75231743145272,0.6844020404486566,21.26817380742628,-0.09901146125222048,-2.7151849351420427,0.28269753351319427,2.320307120648234,0.002524442626080857,-0.023725648213817056,2.108487935861562,0.45984292921630193,1.6775022879296861,4.585235092023709,2.904687499999995,8.55393916141955,0.49885802805410406,0.9482758620689621,5.018991372982376
ID22920,22920,0,681.0,85.0179330611291,91.08418151448345,0.0,160.0,32,0.9517156706478604,1,,429.78306092124814,433.0,0.0,433.0,289244.0,37.21079606233918,5456.97028231798,5304.0,4738.0,6660.0,3672541.0,428.67276030215515,213.57206537890045,217.0,127.0,302.0,143734.0,39.80541874359394,0.6594832153261407,9.179968937995449,-0.10068479923216514,-2.8504122194664228,0.2813120528433386,2.3559478604044846,0.013304504458881898,-0.01339402969295472,2.0718415990913512,0.45219155089847685,2.2527665194703497,4.581778662106201,2.8455374999999954,8.678801807842762,0.47473869956107145,0.9232350925291327,5.144908010527073
ID23690,23690,0,683.0,84.32932720588154,91.6994031862734,0.0,180.0,36,0.9562971834142532,1,,432.2859237536657,442.0,0.0,447.0,294819.0,64.87454565401785,5396.885630498534,5236.0,4785.0,6964.0,3680676.0,426.4820734805422,213.98093841642228,218.0,123.0,306.0,145935.0,39.661725877205726,0.632137333490408,5.161566198694163,-0.10089005761311336,-2.8399323790008166,0.2837469768520533,2.384982979875364,-0.028956457832564834,0.04446713082322747,2.033355992694985,0.5001986095069657,2.5990744357928173,4.065097251468207,2.87300000000001,8.543515669543766,0.4946206563484265,0.9523809523809549,5.04044415400689
ID30990,30990,0,703.0,84.02726782752575,93.48893330963952,0.0,235.0,47,0.9726810863949714,1,,447.2808510638298,457.0,0.0,460.0,315333.0,65.99488176918861,5392.201418439717,5241.0,4766.0,7154.0,3801502.0,442.46714920204556,210.60709219858157,214.0,124.0,296.0,148478.0,39.86233705565141,0.6869990064352535,5.52002860507917,-0.09422545120955136,-2.535497474014179,0.28031174154565774,2.3134802265474175,0.009883546709053885,-0.004894536766456418,2.139126534600929,0.4592148782838592,2.7288953936777016,4.65822567116096,2.972287499999994,8.565499474439866,0.5090908524529334,0.9597544338335618,4.968293975236627
ID35854,35854,0,695.0,81.9572040498489,96.16271806853942,0.0,295.0,59,0.9671347484593307,1,,467.134670487106,476.0,0.0,476.0,326060.0,64.39910241332414,5251.497134670487,5114.0,4709.0,6317.0,3665545.0,361.5727809009941,210.6189111747851,214.0,121.0,302.0,147012.0,38.443695069996245,0.9893260523979889,7.214824285637295,-0.10510879780000958,-3.4118209322753748,0.27919130442341683,2.391490303845522,-0.010652959230804594,0.02209470297816562,2.0872116358931927,0.46368729505729966,2.544602125098508,4.501334537611749,2.938487500000004,8.78662912282676,0.478287598884636,0.9354404841963718,5.125784833492289
ID7697,7697,0,675.0,82.96746161467355,87.29858964835478,0.0,10.0,2,0.9513623327219478,1,,402.79761904761904,404.0,0.0,404.0,270680.0,22.023577536290727,5347.144345238095,5212.0,4778.0,6563.0,3593281.0,363.24991294235116,214.3422619047619,214.0,123.0,314.0,144038.0,38.49046719928109,0.9950519107576762,18.244020868326853,-0.11550864407243483,-3.844742669889031,0.28524685292516294,2.471831912984259,-0.0016360568873979415,-0.006357649343685212,2.042450005867883,0.4610094079028416,1.497517387808177,4.430386822601096,2.843425000000004,8.504117867916843,0.4940752507070383,0.9552874378992189,5.043225439264176
ID35859,35859,0,696.0,82.22733142037215,95.55665231946271,0.0,285.0,57,0.9681771070321673,1,,457.9539568345324,466.0,0.0,466.0,318278.0,60.74558992565771,5280.1352517985615,5158.0,4719.0,6466.0,3669694.0,352.7561984871167,211.28920863309352,215.0,125.0,320.0,146846.0,38.78680494505132,0.9902493158737631,7.501949306700293,-0.10216157266999407,-3.406353924899177,0.28062158573909396,2.387391056173664,0.007060650887608484,0.001666092765532623,2.0771811456302416,0.4697621594454672,-0.5354917504029607,4.421771962395309,2.944824999999985,8.736982517445652,0.48478192850255186,0.9541409993155369,5.091335554392441
