LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEDIAN_INTENSITY_CH4,MIN_INTENSITY_CH4,MAX_INTENSITY_CH4,TOTAL_INTENSITY_CH4,STD_INTENSITY_CH4,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,CONTRAST_CH4,SNR_CH4,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Mean intensity ch4,Median intensity ch4,Min intensity ch4,Max intensity ch4,Sum intensity ch4,Std intensity ch4,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Contrast ch4,Signal/Noise ratio ch4,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Mean ch4,Median ch4,Min ch4,Max ch4,Sum ch4,Std ch4,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,Ctrst ch4,SNR ch4,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,(µm),(µm),(µm),(µm),(radians),,(µm^2),(µm),,,
ID9600,9600,0,568.0,72.69827930129019,15.391969814546467,0.0,30.0,6,0.8732326400916869,1,,622.5689045936396,627.0,0.0,627.0,352374.0,52.569428390231955,6797.708480565371,6586.0,5887.0,8687.0,3847503.0,618.7555694206029,204.96289752650176,214.0,103.0,299.0,116009.0,49.3842836389021,253.19787985865725,255.0,0.0,255.0,143310.0,21.379911067798155,0.30664569099997807,5.55857144201474,-0.06632012113419952,-1.5607046403687017,0.25304974557008214,1.6763090190195873,0.28913137415647305,5.312295295581633,-0.007098005574745191,-0.005605776619244026,1.750192517449462,0.4483613497482694,-0.10152985914123486,3.9035311996274884,2.3955751197787594,7.47934596171072,0.5381364549440797,0.9489539748953967,4.832353819142744
ID240005,240005,0,552.0,74.34308699696324,18.75119030030774,0.0,235.0,47,0.8631639892562095,1,,770.8731884057971,782.0,0.0,838.0,425522.0,93.6133795638882,7038.048913043478,6895.0,6095.0,9399.0,3885003.0,568.9408341288998,201.93840579710144,206.0,112.0,308.0,111470.0,50.59403754238707,251.30434782608697,255.0,0.0,255.0,138720.0,30.502770382799742,0.08817498320210058,1.3345094717983519,-0.02290164927218232,-0.5798873707325283,0.23381543757862142,1.512768812463361,0.0930667788594061,1.4029387155373974,0.0026811699467523264,0.007009331921123637,1.7900496535388954,0.4247108471240124,0.22481307250074378,4.214749083194982,2.3406501170325074,7.50873077965498,0.5216909431538113,0.943781942078365,4.907929135454589
ID235144,235144,0,528.0,74.24480465509792,18.8354250892052,0.0,215.0,43,0.8394678625519912,1,,787.5085714285714,789.0,0.0,826.0,413442.0,34.499784583589545,7087.780952380952,6951.0,6201.0,8774.0,3721085.0,503.7747622567824,207.7352380952381,218.0,95.0,335.0,109061.0,53.86926140768252,254.5142857142857,255.0,0.0,255.0,133620.0,11.129112402035615,0.0991106506228659,4.116686664637392,-0.016952230127702073,-0.4852394403713871,0.24426491149771737,1.5140749628883097,0.0999673298462899,4.156807727322888,0.008517032333664734,0.007254833724499821,1.7573903887487583,0.41478327477823707,0.10328890856257078,4.236888263366798,2.213900110695006,7.425233243287629,0.50460051016447,0.9365504915102754,4.990350957021834
ID86026,86026,0,555.0,72.41479625976095,17.033945958647703,0.0,90.0,18,0.8689870639839611,1,,637.5648312611013,650.0,0.0,702.0,358949.0,90.17559366781549,7031.4742451154525,6772.0,5964.0,9625.0,3958720.0,722.8969157825761,210.3019538188277,217.0,115.0,327.0,118400.0,48.45290974098429,250.0177619893428,255.0,0.0,255.0,140760.0,35.325124948592425,0.27568858549603886,3.055902219787714,-0.06757215033581311,-1.4097838050788327,0.26491753629837056,1.8180337213567692,0.3015909200568091,3.2799022760002123,-0.006321442159841694,-0.010900996835062711,1.7342888581028455,0.44721080860635437,0.8805118298134444,3.8780119458816746,2.3723376186168825,7.454558499372116,0.5364663738378966,0.9327242524916957,4.839869808891387
ID9872,9872,0,540.0,74.11523654047664,15.634200914092803,0.0,15.0,3,0.8533705705284634,1,,614.280442804428,620.0,0.0,620.0,332940.0,59.32879923803587,6655.769372693727,6519.0,5632.0,8228.0,3607427.0,532.1277037594392,203.38929889298893,212.0,105.0,326.0,110237.0,54.263764285937725,252.64760147601476,255.0,0.0,255.0,136935.0,24.401360976934274,0.35981610115177504,5.479381508911413,-0.07212686919265847,-1.9445578743848975,0.23565278979109222,1.4296321589943144,0.32400934879718163,5.067545015552342,-0.02006862336691596,0.01696484718168275,1.667959042880572,0.5161242747745771,0.01599165128968516,3.231700434181421,2.287837614391882,7.222761909138672,0.5510975266872948,0.9935779816513763,4.775190490876702
ID235537,235537,0,568.0,73.5534213790649,18.55031655571181,0.0,210.0,42,0.8720768055148248,1,,767.081560283688,774.0,0.0,774.0,432634.0,72.62409907148451,7018.682624113475,6852.0,6046.0,9241.0,3958537.0,647.6869216465352,201.5336879432624,210.0,94.0,318.0,113665.0,55.59192793048785,252.73936170212767,255.0,0.0,255.0,142545.0,23.92419519556021,0.1419326088599093,2.625623746743041,-0.036076384920084886,-0.8111494246222009,0.23280190634992579,1.369175588423027,0.14225323941682388,2.631269365560525,0.030003246758153673,-0.00772519804271814,1.7541686293238838,0.46180575903929943,3.13465127873726,3.7984988168469442,2.3892376194618783,7.479035247304938,0.5367574096195563,0.9674935842600502,4.838557515613495
ID166682,166682,0,534.0,73.07503792229677,17.3628551107827,0.0,185.0,37,0.8450563931550333,1,,702.1207547169811,706.0,0.0,744.0,372124.0,53.079393965093665,6946.881132075472,6883.0,5997.0,8960.0,3681847.0,485.18122335071854,209.46603773584906,219.0,109.0,329.0,111017.0,49.948705043269314,253.5566037735849,255.0,0.0,255.0,134385.0,19.14874627013306,0.2261266299410694,4.879015933952672,-0.054860646508718594,-1.6621911010275157,0.2560763130902399,1.7099080721442723,0.22157316964993334,4.803549408400011,0.016308283307352494,-0.008437217566035991,1.74357601753408,0.42947349236389354,2.869811181613919,4.059798913169582,2.243475112173753,7.496484159933968,0.5016673823418643,0.9061433447098969,5.0049183823990875
