LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEDIAN_INTENSITY_CH3,MIN_INTENSITY_CH3,MAX_INTENSITY_CH3,TOTAL_INTENSITY_CH3,STD_INTENSITY_CH3,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,CONTRAST_CH3,SNR_CH3,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Mean intensity ch3,Median intensity ch3,Min intensity ch3,Max intensity ch3,Sum intensity ch3,Std intensity ch3,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Contrast ch3,Signal/Noise ratio ch3,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Mean ch3,Median ch3,Min ch3,Max ch3,Sum ch3,Std ch3,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,Ctrst ch3,SNR ch3,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID45568,45568,0,744.0,6.401835715601447,19.008614919659777,0.0,270.0,54,1.0043129503681165,1,,183.272,186.0,0.0,186.0,137454.0,22.374841393176446,7486.856,7503.0,5704.0,9176.0,5615142.0,590.7579486296896,289.24533333333335,301.0,116.0,460.0,216934.0,75.64027419081573,0.8515507321867352,7.534267924396306,-0.09822681444858691,-2.760912509868829,0.3670863117148927,2.053598401201751,-0.007321653961568498,0.00905942309686302,2.2045765505021273,0.4679383753061801,0.7895226459996204,4.7112540172830135,3.168750158437505,9.519009643833979,0.43945491770699635,0.8998200359928017,5.347462745325826
ID26241,26241,0,731.0,11.08395156261975,23.148678972943404,0.0,145.0,29,0.996920784002945,1,,195.8391891891892,201.0,0.0,201.0,144921.0,31.81283779966954,7863.739189189189,7704.0,6893.0,9633.0,5819167.0,572.698768212099,313.68108108108106,329.0,135.0,474.0,232124.0,78.45770375774414,0.9094035806385947,5.86389404038662,-0.08874415766893896,-2.6744365177548657,0.37346221979785954,2.174266051577015,-0.00785977239414733,-0.006372254713687314,2.2526611175313276,0.45039355896693867,0.9336493377903291,5.001539370807666,3.122275156113755,9.59770420536781,0.4259379291902396,0.9084204056545786,5.431649962094699
ID16386,16386,0,720.0,8.826054548459888,21.863896725234692,0.0,80.0,16,0.9867513159512411,1,,190.86149584487535,193.0,0.0,193.0,137802.0,20.216928597593903,7788.797783933518,7627.0,7020.0,9651.0,5623512.0,497.71538034166326,312.57894736842104,324.0,139.0,500.0,225682.0,73.62709204080774,0.9544022259696431,9.220418567315921,-0.0965440808447331,-3.3445527301265066,0.3981290379816083,2.417846194035793,0.0014329757509684564,-0.0036936955606779284,2.2838411256580273,0.4473899540091803,0.23416016301207931,5.104810926557291,3.05890015294501,9.212698210865073,0.45289911873957417,0.9293966623876774,5.267495753910869
ID4739,4739,0,724.0,8.731756663966152,21.18600536390439,0.0,50.0,10,0.9867513159512401,1,,187.37206085753803,190.0,0.0,190.0,135470.0,22.20550316200301,7800.051175656985,7647.0,7090.0,9495.0,5639437.0,476.0321736410406,301.030428769018,321.0,129.0,444.0,217645.0,81.0583672831041,0.9925614079310258,8.40659028116834,-0.09294947960877883,-3.358200540187371,0.382453624380859,2.054805647236487,0.06961111973840209,0.011799936408099792,2.324484131961678,0.4324943612752261,0.1884880079357223,5.374599856302977,3.0589001529450037,9.268825450713356,0.44743067779320145,0.9187817258883244,5.299587329127231
ID38788,38788,0,740.0,9.837373434340176,20.36001409595695,0.0,225.0,45,0.9948952063247359,1,,185.47554347826087,187.0,0.0,187.0,136510.0,16.826588927715903,7764.078804347826,7676.0,6992.0,9162.0,5714362.0,440.5693524584334,292.69972826086956,310.0,126.0,454.0,215427.0,81.3433191144295,0.9900225281848789,10.967500103780228,-0.08377332615899928,-3.2226153813464053,0.3595105306431455,1.9030906071496871,0.001088156779964521,0.03181010665262508,2.3412762803949327,0.4489482763534468,1.2038706977349922,5.215024544501645,3.109600155480007,9.41254932991037,0.4410622440667818,0.9199999999999996,5.3377101958128215
ID38406,38406,0,722.0,8.866350756293851,20.44864997658127,0.0,250.0,50,0.9819695230387339,1,,188.41225626740948,190.0,0.0,190.0,135280.0,17.30802138048101,7789.6949860724235,7712.0,7015.0,8957.0,5593001.0,427.3595134060721,306.0724233983287,311.0,128.0,502.0,219760.0,66.52102187610419,0.8762017147391696,10.16754944863969,-0.07797731407757913,-3.0830724985238267,0.39262839879154077,2.5944287450476073,-0.0147435379396129,-0.03567600546761337,2.354200365071141,0.42010219544453364,1.219734384243674,5.603875415552232,3.0293251514662565,9.43523410912988,0.42761250172088044,0.9210019267822736,5.42100409209502
ID45958,45958,0,736.0,9.731797595637067,20.53784561414759,0.0,230.0,46,0.9952330888973312,1,,184.42391304347825,188.0,0.0,188.0,135736.0,25.698506776028886,7704.139945652174,7605.0,6816.0,9168.0,5670247.0,459.83685451420814,307.1576086956522,314.0,130.0,455.0,226068.0,68.43001009911542,0.9899261257517145,7.14011441719728,-0.08758793289825388,-3.216648750512253,0.38676538490551426,2.5037402724132902,-0.019612031945519092,-0.011478896454244152,2.286581231377021,0.46469127426346113,1.0714375060174233,4.920645938534714,3.1117126555856305,9.281052297235737,0.45395720194075034,0.9558728098637246,5.261353434564668
